Institution,ZIP,Address1,Address2,Address3,City,State,County,Country,ContactNumber,Contact
Central Arizona College,85128,8470 N. Overfield Road,,,Coolidge,AZ,Pinal County,US,77,{C1FD26EC-2A69-E111-92F0-005056837252}
University of South Florida,33620,4202 E. Fowler Avenue ALN 241,,,Tampa,FL,,US,172514,{66540495-B127-E411-904E-0050569C32C4}
Wittenberg University,45501,University Honors Program,PO Box 720,,Springfield,OH,Clark County,US,170184,{0E1F71BE-EC26-E311-BD49-0050569C003B}
University of Indianapolis,46227,Esch Hall 210,1400 East Hanna Ave,,Indianapolis,IN,Marion County,US,89059,{4E1FCF3E-7A0D-E211-AF59-0050569C003B}
Union College-Nebraska,68506,Director of Union Scholars,3800 S. 48th St.,,Lincoln,NE,Lancaster County,US,619,{BFFD26EC-2A69-E111-92F0-005056837252}
Wilkes University,18766,84 West South St.,,,Wilkes-Barre,PA,,US,172726,{EC98BC7C-9733-E411-904E-0050569C32C4}
Snow College,84627,150 East College Avenue,,,Ephraim,UT,Marshall County,US,67406,{C0FD26EC-2A69-E111-92F0-005056837252}
Brigham Young University-Hawaii,96762,University Honors Program,55-220 Kulanvi St.,,Laie,HI,Honolulu County,US,54,{C7FD26EC-2A69-E111-92F0-005056837252}
College of Mount Saint Vincent,,,,,,,,US,173034,{C4CAC371-0C3D-E411-904E-0050569C32C4}
Oklahoma Baptist University,74804,Box 61156,500 West University,,Shawnee,OK,Pottawatomie County,US,172167,{8F4D9137-4DF2-E311-8578-0050569C32C4}
Estrella Mountain Community College,85323-1000,3000 N. Dysart Rd.,,,Avondale,AZ,,US,2691,{BE97F957-2B69-E111-92F0-005056837252}
Wisconsin Lutheran College,53226,8800 W. Bluemound Rd.,,,Milwaukee,WI,,US,173201,{F9D680C0-2B45-E411-904E-0050569C32C4}
City University of New York-Baruch College,10010,"Director, Honors Program","One Bernard Baruch Way, Box J-306",,New York,NY,New York County,US,125779,{4A8A8BBD-3B8B-E211-B10B-0050569C003B}
State University of New York-Plattsburgh,12901,101 Broad St.,,,Plattsburgh,NY,Clinton County,US,2287,{1A5D36E0-2A69-E111-92F0-005056837252}
University of Colorado at Colorado Springs,80918,,1420 Austin Bluffs Parkway,Columbine Hall 3043,Colorado Springs,CO,El Paso County,US,173233,{67B46546-274B-E411-8997-0050569C32C4}
University of Wyoming,82071,Dept 3413,1000 E. Univeristy Ave.,,Laramie,WY,Albany County,US,78457,{10A52E2B-4AEB-E111-89B0-0050569C003B}
University of Southern Maine,04104-9300,P.O. Box 9300,96 Falmouth St.,,Portland,ME,Cumberland County,US,2285,{CAFD26EC-2A69-E111-92F0-005056837252}
Lasell College,02466,Honors Program,1844 Commonwealth Ave.,,Auburndale,MA,Middlesex County,US,313,{CBFD26EC-2A69-E111-92F0-005056837252}
Albertus Magnus College,06511,700 Prospect St.,204 Weldon Hall,,New Haven,CT,New Haven County,US,4,{CCFD26EC-2A69-E111-92F0-005056837252}
Alfred University,14802,1 Saxon Drive Pschology Department,,,Alfred,NY,Allegany County,US,7,{E0AF21F2-2A69-E111-92F0-005056837252}
California University of Pennsylvania,15419,Honors Program,"250 University Ave., Box 100",,California,PA,Washington County,US,66980,{D6FD26EC-2A69-E111-92F0-005056837252}
Carson-Newman University,37760,1620 Russell Avenue,Campus Box 71976,,Jefferson City,TN,Jefferson County,US,67196,{E1AF21F2-2A69-E111-92F0-005056837252}
Community Colleges of Spokane,99217-6000,"510 N. Riverpoint Blvd, MS 1009",PO Box 6000,,Spokane,WA,,US,124237,{B89F8A9F-1985-E211-B10B-0050569C003B}
Neosho County Community College,66720,800 W. 14th St.,,,Chanute,KS,Neosho County,US,81560,{F41D62EC-5FF7-E111-AF58-0050569C003B}
College of the Ouachitas,72104-0816,One College Cir,,,Malvern,AR,,US,169266,{4E3B28BE-3A16-E311-BD48-0050569C003B}
Concordia University Irvine,92612,1530 Concordia West,,,Irvine,CA,,US,67864,{C8E4FE51-2B69-E111-92F0-005056837252}
Westminster College,84105,Honors Program,1840 S. 1300 E.,,Salt Lake City,UT,Salt Lake County,US,797,{06AF21F2-2A69-E111-92F0-005056837252}
Pace University,10570,861 Bedford Road Mortola Library 3rd FL,,,Pleasantville,NY,New York County,US,170613,{86DAA8D5-362D-E311-BD49-0050569C003B}
University of North Carolina at Asheville,28804-8509,"Karpen Hall 141, CPO 2150",One University Heights,,Asheville,NC,Buncombe County,US,123389,{9C72BADA-4980-E211-B10B-0050569C003B}
Lewis University,60446-2200,One University Parkway,,,Romeoville,IL,Will County,US,2162,{D0FD26EC-2A69-E111-92F0-005056837252}
Oklahoma Christian University,73136-1100,Director - Honors Program,P.O. Box 11000,,Oklahoma City,OK,Oklahoma County,US,117470,{680169A8-C576-E211-B10B-0050569C003B}
Fairmont State College,26554,Honors Program,1201 Locust Ave.,,Fairmont,WV,Marion County,US,190,{E2AF21F2-2A69-E111-92F0-005056837252}
Orange Coast College,92626,2701 Fairview Rd.,Watson Hall 433,,Costa Mesa,CA,Orange County,US,172244,{498D15B9-D506-E411-8578-0050569C32C4}
State University of New York-Potsdam,13676,Honors Program,44 Pierrepoint Ave.,,Potsdam,NY,St. Lawrence County,US,574,{D1FD26EC-2A69-E111-92F0-005056837252}
Fullerton College,92832,321 E Chapman Ave.,,,Fullerton,CA,Orange County,US,2258,{D2FD26EC-2A69-E111-92F0-005056837252}
University of Southern Indiana,47712-3597,Honors Program,8600 University Blvd.,Ed. Center Suite 0114,Evansville,IN,Vanderburgh County,US,844,{D4FD26EC-2A69-E111-92F0-005056837252}
Barton College,27893-7000,200 ACC Drive NE,,,Wilson,NC,Wilson County,US,170117,{A6193675-F825-E311-BD49-0050569C003B}
Austin Peay State University,37052,601 College Street P. O. 4505,,,Clarksville,TN,Montgomery County,US,67449,{1E5D36E0-2A69-E111-92F0-005056837252}
Tennessee Technological University,38505,Box 5124,,,Cookeville,TN,Putnam County,US,588,{01AF21F2-2A69-E111-92F0-005056837252}
Our Lady of the Lake University,78207,411 SW 24th St.,,,San Antonio,TX,Bexar County,US,2284,{E9AF21F2-2A69-E111-92F0-005056837252}
Caldwell College,07006,9 Ryerson Ave.,,,Caldwell,NJ,Essex County,US,66,{02AF21F2-2A69-E111-92F0-005056837252}
Niagara University,14109,University Honors,Lewiston Road P.O. Box 1935,,Niagara University,NY,Niagara County,US,414,{03AF21F2-2A69-E111-92F0-005056837252}
Eureka College,61530,300 E. College Avenue,,,Eureka,IL,Woodford County,US,1412,{EFAF21F2-2A69-E111-92F0-005056837252}
Onondaga Community College-SUNY,13215-4585,Honors/Phi Theta Kappa,262 A Ferrante Hall,4585 West Seneca Turnpike,Syracuse,NY,Onondaga County,US,171158,{3EA4C30D-A931-E311-842D-0050569C003B}
The College of New Rochelle,10805,Honors Director,29 Castle Place,,New Rochelle,NY,Westchester County,US,1059,{04AF21F2-2A69-E111-92F0-005056837252}
University of Wisconsin-Stout,54751,Honors College,315 10th Avenue East Room 430 RSSLC,Robert S. Swanson Learning Program,Menomonie,WI,Dunn County,US,1611,{05AF21F2-2A69-E111-92F0-005056837252}
East Carolina University,27858-4353,101 Mamie Jenkins Bldg.,,,Greenville,NC,,US,67720,{D9E4FE51-2B69-E111-92F0-005056837252}
Thomas Nelson Community College,23670,Honors Program Coordinator,99 Thomas Nelson Dr.,,Hampton,VA,Hampton city,US,173325,{1BB89072-BB5E-E411-A09A-0050569C32C4}
Piedmont Technical College,29648,620 North Emerald Road,,,Greenwood,SC,,US,95102,{689A5CEC-A313-E211-AF5A-0050569C003B}
Charleston Southern University,29423-8087,9200 University Blvd.,P.O. Box 118087,,Charleston,SC,,US,171276,{DFAD0039-5845-E311-842D-0050569C003B}
Marymount Manhattan College,10021,221 East 71st Street,,,New York,NY,New York County,US,2032,{07AF21F2-2A69-E111-92F0-005056837252}
Dixie State University,84770,225 South 700 East,,,St. George,UT,Washington County,US,2137,{E5AF21F2-2A69-E111-92F0-005056837252}
University of Delaware,19716,University of Delaware,Honors Program,186 S. College Ave,Newark,DE,,US,67582,{16E8F15D-2B69-E111-92F0-005056837252}
Crown College,55375-9001,8700 College View Drive,,,St. Bonifacius,MN,,US,97629,{929801AE-701C-E211-B63E-0050569C003B}
East Central University,74820-6999,Honors Program,1100 E. 14th St. - Box B-7,,Ada,OK,,US,89307,{8CD2D04D-C80D-E211-AF59-0050569C003B}
University of Nebraska-Lincoln,68588-0659,118 NRC,540 N. 16th St.,,Lincoln,NE,Lancaster County,US,694,{E6AF21F2-2A69-E111-92F0-005056837252}
Calvin College,49546,Honors Program,1845 Knollcrest Circle SE,,Grand Rapids,MI,,US,101838,{3CEBE3E2-DF2A-E211-B63E-0050569C003B}
Georgia State University,30302,PO Box 3966,,,Atlanta,GA,Fulton County,US,68018,{4352CA1D-146D-E111-A07E-0050569C003C}
University of La Verne,91750,1950 Third Street,,,La Verne,CA,Los Angeles County,US,129973,{30376E11-9E9B-E211-B10C-0050569C003B}
Carroll University,53186,100 North East Avenue,,,Waukesha,WI,Waukesha County,US,1184,{08AF21F2-2A69-E111-92F0-005056837252}
