,distToChicago,disttoSaltLake,disttoSanFrancisco,sttoSanAntonio,disttoWashinton,disttoOrlando,disttoPhilly,distoDenver,disttoWashington,disttoKansasCity,disttoLosAngeles,disttoPhoenix,disttoSeattle
Abilene Christian University,928.078850170197,887.299913849475,1332.3227843735351,238.66071890409793,1283.953519291601,1161.5684794563635,901.5025863770469,1415.0991558013352,1283.953519291601,555.6102890309024,1089.0197747284722,1434.096268717311,1584.0002319208202
Abraham Baldwin Agricultural College,752.3688505244049,1703.537089985248,2240.972068282536,906.2797507910725,583.4704236962801,537.2195041791763,293.1031268820364,732.052088220256,583.4704236962801,818.8405859380773,2030.7512636647452,2277.272999818927,2322.745031506393
Aims Community College,897.366440560501,377.62700247953234,965.1877227990028,852.5573367740649,1420.347774937514,1291.113409765946,1152.4394332776724,1506.3888276572443,1420.347774937514,552.4999196469997,868.9793452770364,946.1454764483727,1007.1904129167283
Albany College of Pharmacy and Health Sciences,711.9743268902711,1960.1015247644084,2560.2041970341556,1657.9301389828067,356.2523239929103,440.40125477780066,747.8818632910261,206.60535978315212,356.2523239929103,1103.159166770982,2465.665259351956,2470.385809801622,2361.020152975493
Albany State University,736.8063424578969,1669.0587424245514,2204.9995137313927,870.9712941776855,597.1150155192473,543.2872341917919,282.6307714323524,747.0038857057712,597.1150155192473,788.7532124963216,1994.0800145458861,2242.8332594750386,2291.0132094174487
Albertus Magnus College,762.4083364426882,2020.2810004733165,2619.7088478482146,1660.8956324927296,331.32627889802916,438.16465983470505,736.0643963059066,183.887510214826,331.32627889802916,1143.18574624865,2513.680932033248,2539.8381947187336,2441.0133676238156
Albion College,151.0736162510251,1407.5811234435992,2006.6026372050444,1183.3282674404293,424.1780127101261,319.67596219453145,454.2033041896422,470.33190217122404,424.1780127101261,548.1606358081029,1904.723379696675,1935.6020982668447,1864.394867860274
Alfred University,507.1434241227903,1761.7512312770557,2361.4315117288684,1464.8999661467847,245.5803587116631,274.46950508887755,578.7907917331022,164.74716471951385,245.5803587116631,896.4218571917668,2260.8542300111926,2280.998628178441,2187.6405510185255
Allegany College of Maryland,491.9665601134827,1747.1806317841529,2341.8994609743795,1334.5776466698665,72.07999218221576,111.50889359331269,417.0064187533128,144.41490662993664,72.07999218221576,840.4862474883894,2214.8360299619303,2287.656288587117,2225.8695457113986
Alvernia University,620.0585225881799,1881.1978025216806,2478.533905151466,1487.8865941955983,162.0816072235453,265.49898926240166,563.9856003259541,10.902598765542754,162.0816072235453,986.400706280181,2360.341716529835,2412.912260528958,2334.2074829135263
Alvin Community College,960.1025027512378,1225.1825954181043,1661.9798703560102,195.693252183157,1168.4527435589653,1063.2799275619632,762.9555263351551,1314.4098978926797,1168.4527435589653,684.7212377572927,1401.0803798464433,1773.1705482086882,1918.5419071189817
American International College,775.7558257721536,2028.0850137396626,2628.0675883362533,1699.117406293079,377.1717211274984,476.396769218897,779.1086243494785,226.43979751499947,377.1717211274984,1163.0743680999142,2529.4247554076655,2541.006254091246,2433.449325265113
American University,591.9932958699948,1844.5234145006766,2438.035763383709,1394.0701808151196,59.6952788281696,187.0373623009879,463.860461659212,103.19153395790475,59.6952788281696,932.5423520208677,2305.805319993282,2387.067717428057,2326.6498608039833
Anderson University,160.07440456719414,1380.1737636903888,1973.1319444574024,1047.127390786244,413.0449181120205,285.47981885365243,313.8345921174697,505.11129348059,413.0449181120205,472.1193213606883,1846.3460178560335,1927.3597908543643,1887.143190041458
Anderson University,576.1435410248527,1654.668030151955,2219.0544141465907,999.8111682229347,381.57795585011746,322.67193029648087,129.56826259603417,532.8158982422636,381.57795585011746,732.6730807159173,2037.414198152444,2223.954662774247,2234.305991331269
Andrews University,66.580236607785,1326.890112745938,1925.245818444867,1112.5749259078298,487.4288959516737,372.02337151458084,446.47951363431565,547.425350027844,487.4288959516737,463.6845025079712,1820.3576330887245,1859.4223045476856,1797.4187229958495
Angelo State University,1010.5552030754262,907.4449006850825,1319.9479831812005,196.5021715681889,1355.5248432332437,1234.726406026467,967.6003119189015,1488.9134999933879,1355.5248432332437,639.1858481808064,1061.5047894511595,1439.9407523601046,1608.5112666997063
Anna Maria College,807.5862201675603,2057.490087940229,2657.574802369278,1735.194662390388,412.56245435250736,512.4865373962899,815.0065124980504,262.14746345422174,412.56245435250736,1196.4692565081718,2561.41421207592,2567.685695843345,2456.1398324457255
Anne Arundel Community College,617.7137422844121,1872.5334514548604,2466.6851293004884,1425.7995532694,91.7468020116971,218.2643673377849,495.1795012338974,84.10108449539811,91.7468020116971,962.496334338376,2336.145663089784,2413.4927529482743,2349.7497025968764
Appalachian State University,506.67239861350976,1662.2655882278118,2239.4140708377154,1090.5828716727988,258.8517956093716,194.72225075392208,160.6349922781041,410.0707420924753,258.8517956093716,732.3203209754734,2075.2942324089004,2225.178662179878,2212.938095481872
Arcadia University,663.4098707836292,1924.4530714112666,2521.620968850107,1519.5214363336945,186.400919528173,300.1005662213543,591.8761580869245,51.20537435357673,186.400919528173,1027.9402247075288,2402.1416008276506,2456.486899262362,2377.3364606145033
Arizona Western College,1601.0683706258446,576.1021993197486,565.9466680665344,980.8296323365076,2071.2449232580425,1941.7840720443432,1726.623096885817,2181.9408752295103,2071.2449232580425,1208.163310681709,248.66846103867243,803.1672638447724,1112.1863408830454
Arkansas Tech University,542.5760340648405,1090.2986720717918,1631.5808294367996,524.8969956699177,859.9168458975774,736.5715239780199,490.0899998498502,989.931483323851,859.9168458975774,286.406692363318,1439.6953749079382,1664.0772262773432,1726.7760248411541
Armstrong Atlantic State University,770.869234842334,1808.609204824788,2358.030489297007,1048.5891970193463,493.9109793950254,477.38845428377124,316.7434467493531,634.8052052509153,493.9109793950254,901.831163097208,2157.33198873264,2381.217531736551,2408.749132650142
Ashland University,285.4478963869488,1544.5554987448095,2141.158134667495,1216.1996250405618,266.76702191142186,165.33076783471535,376.6482682429456,329.4266786027848,266.76702191142186,651.8949239359292,2024.0775447591484,2081.485723118752,2019.155149885117
Assumption College,812.3563387649057,2062.5045935393946,2662.5837148889946,1738.5327949081366,414.9820792365767,515.7030027672632,817.809682845436,264.82350399926514,414.9820792365767,1201.006689972009,2566.178458322934,2572.846336745774,2461.3772866550944
Auburn University at Montgomery,660.8540612550967,1538.0408584970407,2073.720374740035,763.2467392157503,628.1380854723857,549.0385618789613,247.74048904383946,779.4030718659544,628.1380854723857,666.7756003828279,1865.064191118841,2111.8267799213095,2164.109707687552
Augsburg College,352.97342777044844,989.0651684991622,1587.1858772288358,1126.096955847612,888.2950792713178,775.3360939085908,791.0695591587684,930.299642896837,888.2950792713178,395.3874180018805,1531.4901602567054,1486.8021466212367,1399.3636125617036
Augustana College,152.77578175828162,1113.3838987671327,1709.9825878746803,959.3271289764734,683.7084024212469,558.2442153592057,520.4714478042799,760.4393700767786,683.7084024212469,255.775109485124,1601.0985926147855,1655.06867574998,1615.3523927214976
Augustana College,476.4927199511705,801.459616375633,1401.4898877762737,994.2840648363403,1022.5030652533346,900.0697480283558,849.4650292421172,1084.7587326959556,1022.5030652533346,313.982170976393,1333.7572787015604,1321.101144267782,1270.0167557182501
Austin Peay State University,369.2569177541368,1356.3007033663503,1926.0805206858936,820.8290653958073,526.0848010591894,405.9167456700667,173.17440845625103,660.6567445262746,526.0848010591894,432.96046982600285,1757.221158573394,1924.5660363577063,1937.1178969614919
Averett University,572.9716206600913,1771.4522596966258,2353.6829760902074,1217.1386239473127,162.2868642982001,171.12302244949643,288.6779152824361,308.9697285267884,162.2868642982001,842.3534964395644,2196.4716076364275,2329.85257878795,2303.3465227888
Azusa Pacific University,1724.4926746930682,563.5390426179429,354.15546987302423,1191.9837645068967,2218.9956751749796,2088.747424423925,1892.8776662792625,2321.10039256549,2218.9956751749796,1344.072370402523,32.253212208577246,622.427603756882,961.7706268946708
Baldwin Wallace University,301.98505243657763,1563.2611167065738,2161.1415337417657,1257.0499134744782,268.60789767335075,184.76493282533204,418.2381526589452,310.7619295406204,268.60789767335075,680.4750000409414,2049.7849580568077,2095.4129230288604,2025.2834619788148
Ball State University,164.61999064723298,1392.2867669764685,1985.6957450094649,1061.1070030968533,401.14219638953114,274.342606690466,317.1020084370777,491.34453010875865,401.14219638953114,485.929728848828,1860.0037027105564,1938.491638482394,1896.1367634003443
Barton College,674.1049451953852,1870.2092165705014,2450.2580665309238,1280.2842659939777,205.4118320262005,261.56638675194125,367.5512264684585,325.11144273782674,205.4118320262005,940.437256956537,2287.8248571949166,2430.0471954426816,2405.291739725621
